FONTES,IDENTIFICAÇÃO,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
QUEROSENE DE AVIAÇÃO,PETRÓLEO,669.7358639999999,749.15442,845.7666839999999,1007.06004,1200.2845679999998,1384.5028679999998,1451.6402039999998,1464.7401719999998,1701.3583439999998,1925.6952959999999,2192.051565,2545.7830200000003,2613.3779520000003,2305.670126582279,2963.902784810127,2843.8325999999997,2574.4650264259935,2631.5718140794233,2539.70207027027,2689.670311271416,2536.3557706041483,2526.356996212805,2425.5360211000907,2358.8775251578004,2363.0436811541936,2613.013040937782,2884.6464119026155,2865.482094319207,3111.429885,3057.9952,3078.5352,3052.244,2979.75,3117.024,3404.7239999999997,3385.0535399999994,3080.8559999999998,3309.633396,3118.2545339999997,3544.9572000000003,3834.2617439999995,4434.69,4457.516118,4565.7094019999995,4997.0317079999995,4649.938098,4758.786516,5070.5892,5241.345726,4986.806028,2739.53694
OUTRAS SECUNDÁRIAS DE PETRÓLEO,PETRÓLEO,261.8994,514.4890800000001,443.961,891.13416,1062.820305,1276.56056,1212.0401160000001,1300.82922,1624.9986400000003,1709.22512,1548.979,1758.1878500000003,1582.366632,1971.588687,2035.949964,2138.0851030000003,2236.6895,2472.32027,2397.8898700941177,2627.68168,2578.165708,2411.72672,2724.732192,2763.532144,3033.897780282353,3043.4605013647056,3232.0869928941174,3837.6266912470583,3660.84334,3872.28812,4715.889018,5310.732744,5452.473823,5381.422932,5640.01104,6198.59795979603,6174.2497743,6414.114698128,6699.913809400001,6977.811756900001,6979.462589160616,7370.319615443306,7947.043500000001,8908.2702,9027.191447942858,9127.079699999998,8810.007020000001,8784.079034290422,8102.420729983558,7813.894523059056,7779.773967738323
PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO,PETRÓLEO,886.7745600000001,840.3896799999999,971.5146000000001,971.5146000000001,1367.85465,1552.87448,1722.987359,2131.25888,2295.13446,3618.4078600000003,2948.8841,2536.1727960000003,2942.704884,2713.145583,3069.1852019999997,3179.64009,3342.3267299999998,3211.179,3224.158214054054,2995.596674195677,3414.0947410621943,3026.9026640956636,3261.6836139247935,2753.051285786302,3187.468943286718,2858.1867090468104,3356.5413590258167,3791.5487983387557,4198.526136,4031.7523200000005,4496.303304999999,4033.3135239999997,4300.606000000001,3602.3920000000003,3954.8199,4061.0358399999996,4696.979,4565.318209,5379.871205325,5166.814700000001,6302.125566664075,6054.4400000000005,6014.724608,6182.911792000001,6821.185791999999,5133.871804,5242.65194,5075.329968,5097.675644,5026.863738,5274.83409
PERDAS,PETRÓLEO,-593.6110016628791,-149.64404555844942,-350.70515387186845,-449.5321026393684,-407.48551003842886,-348.95342560171275,-344.6450491047369,-519.9794928552083,-490.88043184390654,-94.86761705773279,-597.9236156874813,-4.580913784035602,-1.0059014989669777,-30.87509025878626,-152.33606142210965,-2.624118517833267,-0.4720032581349187,-0.6348245009085076,-695.1316524986228,-391.92028385366984,-7.544671761275822,-519.1552466451981,-796.2546204044188,-897.5511296827431,-635.2524646386182,-282.04125421967774,-558.0876539419269,-198.10483839942935,-804.9917315893872,-944.0315599999903,-671.465774999986,-767.6554399999827,-585.3004369999935,-157.7386679999895,-166.93606000001046,-282.45126791290295,-268.8984257000038,-202.24623696291837,-301.4144268970158,-698.0372182818355,-156.93109378464396,-552.8721384100445,-291.6753104172958,-830.8407250000091,-324.9954325171393,-581.604993584011,-482.87544765001985,-470.9214538300239,-140.4024020953775,-577.018655415015,-558.4457883812956
GÁS NATURAL ÚMIDO,GÁS NATURAL,-571.7392128,-920.1427956,-1016.4252672,-995.5806084,-1187.1529488,-1254.6499392,-1306.2652848,-1505.7784476,-1501.8080364,-1341.0063828,-1343.9841912,-1604.0461248,-1795.6184652,-2092.4067024,-2722.7094804,-3167.3955348,-3689.5046076,-4438.9197216,-4088.5309332,-4183.820802,-4244.3695728,-4729.752342,-5142.6751068,-4825.0422108,-5037.45921,-5067.2372940000005,-5321.3436108,-5592.3241752,-6052.8918744,-6657.3869796,-8395.4344824,-8834.16492,-9397.752,-11130.0405,-12398.598,-13837.500811506667,-13791.0819,-13109.586,-16622.532460846,-15318.963608447304,-15489.4475304,-17024.1661945719,-19007.6200092,-18502.1431254,-19831.798264499997,-20825.1435195,-20997.0186048,-23574.5343738,-22251.6772443,-22762.2774528,-21010.164930900002
LGN,GÁS NATURAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.221825,1310.0,921.825,1520.0,1108.351205,839.9153207678573,1162.4083853157035,918.1447428510468,973.841018765049,556.094055093093,244.83447807404866,639.7003665375205,736.4220201453818,849.9581896997157,1198.196761557713,973.6071190149127
GÁS NATURAL SECO,GÁS NATURAL,465.333792,772.3309439999999,847.980672,832.147008,993.1225919999999,1045.021824,1092.522816,1264.933824,1260.535584,1122.430848,1121.5511999999999,1337.944608,1495.4016,1702.11888,2240.463456,2527.228704,2976.728832,3514.19376,3326.828736,3420.0714239999998,3465.81312,3864.293664,4252.218432,3998.00016,4099.15968,4099.15968,4388.563872,4599.679392,5002.558176,5374.64928,6578.887392,6949.2192,7780.96,9264.024,10116.954144000001,11225.757960055234,11195.536,10377.84,13382.24037622283,12503.8006662976,12645.05792,13980.329549119999,15820.47016,15244.532159999999,16202.82928,17098.57776,17004.907040000002,19427.05072,17907.07248,18823.74912,17246.404560000003
GASOLINA,GÁS NATURAL,35.60265729729729,50.30810270270269,54.95192756756756,52.630015135135125,62.69163567567566,71.20531459459458,70.46767,74.54139567567569,76.06264864864866,74.33952,76.11499945945947,86.87873675675677,89.30432432432433,114.909686126447,138.34066407836153,151.44187764705882,179.80878572702946,230.6064248975957,168.2558249327354,153.87338571428572,169.13348663101607,181.72016470588238,0.0,0.0,123.50677860962568,118.00010695187167,136.88012406417113,10.226675935828878,0.0,225.33,231.99,0.0,0.0,154.0,169.4,204.05,0.0,418.11,390.544,585.97,0.0,140.14000000000001,140.14000000000001,0.0,616.0,731.5,385.0,474.32,693.0,156.31,115.5
GLP,GÁS NATURAL,65.11603159663866,93.98823428571431,102.5884648739496,97.05974521008406,116.10311294117649,132.0749697478992,130.23206319327733,140.06089815126055,142.51810689075634,137.60368941176475,141.38559999999998,175.6166839694656,204.88613129770988,237.09188900255756,334.9000312020461,401.18236112531963,521.6799186734694,645.8946206896551,548.674229106383,512.3321769820972,546.824765412766,559.1545233702128,516.6168584170214,451.8856291404256,328.5880495659575,310.7099005276596,273.10413875744683,326.7385858723405,362.43075,245.29999999999998,374.29920000000004,650.1825,712.4259999999999,742.365,838.903,1095.328509743604,1049.6979999999999,1362.53,1154.79,845.624,1093.69,929.210022,1057.270193876,1193.119863,1346.903675,1620.581573,1641.481439,1648.9784089999998,1510.0180679999999,1458.521155,1463.6022309999998
NAFTA,GÁS NATURAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73889592760181,2.935058823529412,2.2618285714285715,1.5078857142857143,1.5078857142857143,1.5228780000000002,2.2760821507271927,4.521579718309859,2.288335075022065,3.81625,3.81625,54.19075,61.06,0.0,0.0,0.0,141.427,144.61229948717946,136.23408,150.77592,156.13344,65.79,74.205,160.65,120.55558500000001,214.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.75,114.75,21.42,0.0,0.0
