ANO,OUTROS
1995,35595.695029999995
1996,37233.73579
1997,39276.171
1998,41658.90937
1999,43416.38964
2000,45011.033780000005
2001,42662.68979
2002,44359.28045
2003,47072.53
2004,47388.5002
2005,49994.94456
2006,51796.34969
2007,54128.865
2008,56079.0514
2009,56476.98685000001
2010,59804.78375999999
2011,63987.896860000015
2012,67829.34645000001
2013,69846.09462999999
2014,73575.46701000001
2015,74467.0675
2016,75720.96198000001
2017,77102.65805
2018,78949.74266000002
2019,80577.342739
